id,category,status,elapsed_ms,expectation,detail
"D01","dimension","PASS",5876.078,"2D canonical unchanged",""
"D02","dimension","PASS",2343.3355,"3D canonical unchanged",""
"D03","dimension","PASS",61.664,"2D reordered",""
"D04","dimension","PASS",94.0527,"3D reordered",""
"D05","rejection","PASS",724.4969,"unsupported dimensions rejected",""
"C01","coordinate","PASS",108.193,"latitude reversal",""
"C02","coordinate","PASS",107.1172,"longitude reversal",""
"C03","coordinate","PASS",206.7799,"0-360 longitude shift",""
"C04","coordinate","PASS",11.3915,"combined transform order",""
"N01","numeric","PASS",794.4571,"Float32 output",""
"N02","numeric","PASS",267.2218,"linear scaling",""
"N03","numeric","PASS",318.0237,"limits retain boundaries",""
"N04","numeric","PASS",16.6593,"no scaling unchanged",""
"G01","gapfill","PASS",547.2058,"constant 2D land only",""
"G02","gapfill","PASS",389.202,"constant 3D per layer",""
"G03","gapfill","PASS",370.7407,"layer nanmean",""
"G04","gapfill","PASS",0.0116,"keep as is",""
"G05","gapfill","PASS",188.8045,"land NaN diagnostic",""
"G06","gapfill","PASS",108.2956,"global NaN diagnostic",""
"G07","gapfill","PASS",222.5694,"integer conversion",""
"G08","rejection","PASS",55.7562,"unknown method named",""
"Y01","yaml","PASS",4721.6384,"minimal YAML drives pipeline",""
"Y02","rejection","PASS",0.8601,"missing GAPFILL rejected before IO",""
"Y03","yaml","PASS",823.2258,"builder output validates",""
"Y04","rejection","PASS",0.1343,"LABEL cardinality rejected",""
"O01","output","PASS",275.9799,"main data structure and values",""
"O02","output","PASS",493.98,"same-shape std appended",""
"O03","output","PASS",229.8963,"existing output is safely skipped",""
"O04","rejection","PASS",95.0658,"catalog tag conflict rejected",""
"V01","manual","MANUAL",0.0,"two reviewers accept direction plot","requires two recorded human reviewers"
"V02","manual","MANUAL",0.0,"two reviewers reject deliberately reversed plot","requires two recorded human reviewers"
